"algorithm","policy_type","traj_mapping_method","reward_period","drop_truncated_feedback_episodes","discount_factor","learning_rate","epsilon","algorithm_args"
"one-step-td","single-step","identity-mapper","1",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","identity-mapper","1",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","2",false,1.0,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","2",false,0.99,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","4",false,1.0,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","4",false,0.99,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","6",false,1.0,0.1,0.0,"{}"
"one-step-td","options","daaf-mdp-with-options-mapper","6",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","2",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","2",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","4",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","4",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","6",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","6",false,0.99,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","8",false,1.0,0.1,0.0,"{}"
"one-step-td","single-step","daaf-lsq-reward-attribution-mapper","8",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","identity-mapper","1",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","identity-mapper","1",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","2",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","2",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","4",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","4",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","6",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","6",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","8",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-impute-missing-reward-mapper","8",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","2",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","2",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","4",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","4",false,0.99,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","6",false,1.0,0.1,0.0,"{}"
"nstep-td","single-step","daaf-nstep-td-update-mark-mapper","6",false,0.99,0.1,0.0,"{}"
